date,ticker,agg_sent,agg_news,n_sent,n_news,sent_lo,sent_hi,news_lo,news_hi,low_n,combined,agg_earnings,actual_ret,momentum,window,ret_resid,sig_resid
2026-01-12,INDUSINDBK.NS,-0.1362,-0.0916,10,9,-0.6182,0.4827,-0.4366,0.2402,False,-0.1139,0.2523,0.0431277124816471,0.00611145055325,jan-A,0.0459584314112672,0.0392625
2026-01-12,APOLLOHOSP.NS,-0.1369,-0.264,9,8,-0.6999,0.5348,-0.6511,0.1794,False,-0.20045,,0.0005503105309296,0.0261895162000092,jan-A,0.0033810294605497,-0.0472875
2026-01-12,TATACONSUM.NS,0.2677,-0.1117,8,7,-0.5311,0.8601,-0.5283,0.2985,False,0.078,0.1427,-0.0175292255286531,0.0086287855987652,jan-A,-0.014698506599033,0.2311625
2026-01-12,SBILIFE.NS,-0.2619,-0.1408,6,6,-0.8249,0.6413,-0.6296,0.4118,False,-0.20135,,-0.0139179971191446,0.0107920558369893,jan-A,-0.0110872781895245,-0.0481875
2026-01-12,HDFCLIFE.NS,-0.0791,-0.1291,7,7,-0.7241,0.5209,-0.6054,0.3205,False,-0.1041,0.1552,-0.015172632104397,-0.0061239789099698,jan-A,-0.0123419131747769,0.0490625
2026-01-12,SHRIRAMFIN.NS,0.0996,-0.2127,8,9,-0.6157,0.676,-0.5875,0.1728,False,-0.05655,0.1177,0.0085320599271381,-0.0304479877772739,jan-A,0.0113627788567582,0.0966125
2026-01-12,BPCL.NS,-0.4961,-0.3973,9,9,-0.8551,0.2031,-0.7465,0.0788,False,-0.4467,,-0.0051568226702174,-0.0506748108346706,jan-A,-0.0023261037405973,-0.2935375
2026-01-28,RELIANCE.NS,-0.3655,-0.1524,7,7,-0.7951,0.3532,-0.682,0.3348,False,-0.25895,0.1887,-0.0009307138830112,0.0019368191914712,jan-B,-0.0001497482708064,-0.1890104166666666
2026-01-28,TCS.NS,0.1175,-0.4493,8,5,-0.6986,0.7446,-1.0,-0.0791,False,-0.1659,0.2937,-0.0238118454305863,0.0315250077949076,jan-B,-0.0230308798183815,-0.0959604166666666
2026-01-28,HDFCBANK.NS,0.265,-0.7808,5,4,-0.2931,0.5759,-1.0,-0.2632,True,-0.2579,0.0811,-0.00369893041341,0.0016108153833402,jan-B,-0.0029179648012053,-0.1879604166666666
2026-01-28,INFY.NS,-0.4457,-0.121,8,9,-0.8324,0.7049,-0.6207,0.3601,False,-0.28335,,-0.015301502940438,0.0045813124700935,jan-B,-0.0145205373282333,-0.2134104166666666
2026-01-28,ICICIBANK.NS,-0.7215,-0.3243,12,8,-0.877,-0.313,-0.822,0.2326,False,-0.5229,0.1171,-0.0092856266909956,-0.0058875544183542,jan-B,-0.0085046610787908,-0.4529604166666667
2026-01-28,HINDUNILVR.NS,0.44,-0.62,10,6,-0.1485,0.7914,-1.0,-0.2041,False,-0.09,,-0.0022703628318739,-0.0002942983860133,jan-B,-0.0014893972196692,-0.0200604166666666
2026-01-28,ITC.NS,0.265,-0.7808,5,4,-0.2931,0.5759,-1.0,-0.2632,True,-0.2579,,0.0031137934852512,-0.0157829792534945,jan-B,0.0038947590974559,-0.1879604166666666
2026-01-28,SBIN.NS,0.7701,-0.3956,8,5,0.2584,0.8642,-1.0,-0.0645,False,0.18725,,0.0128349888144745,0.0261482128752121,jan-B,0.0136159544266792,0.2571895833333333
2026-01-28,BHARTIARTL.NS,0.3595,-0.7808,7,4,-0.4712,0.647,-1.0,-0.2632,True,-0.21065,,0.0056188385729976,-0.0191884012164954,jan-B,0.0063998041852023,-0.1407104166666667
