window,ticker,n_sent,n_news,sent,news_lm,news_fb,combined_lm,combined_fb,ret_resid,agg_sent,agg_news
jan-A,NTPC.NS,7,7,-0.07705658123071592,0.03683650234147756,0.012624925438599735,-0.020110039444619178,-0.03221582789605809,0.0373543803856683,-0.0771,0.0368
jan-A,POWERGRID.NS,8,7,0.12497743882496859,-0.10832184730265446,0.09135334619043008,0.008327795761157067,0.10816539250769933,0.0020572152587749,0.125,-0.1083
jan-A,M&M.NS,8,6,-0.2501412441574165,-0.14077054157142724,-0.15441815139971496,-0.1954558928644219,-0.20227969777856575,-0.0059960056765721,-0.2501,-0.1408
jan-A,TATASTEEL.NS,9,9,-0.3557207787418849,-0.21917310948728483,-0.2130483824756098,-0.2874469441145849,-0.2843845806087474,0.0356291683140669,-0.3557,-0.2192
jan-A,JSWSTEEL.NS,6,6,-0.2618973381311759,-0.14077054157142724,-0.15441815139971496,-0.20133393985130155,-0.2081577447654454,0.0020698308084543,-0.2619,-0.1408
jan-A,ADANIENT.NS,9,9,-0.35657208126718903,-0.24917408382329062,-0.1788326892812474,-0.3028730825452398,-0.2677023852742182,-0.0055963253996429,-0.3566,-0.2492
jan-A,ADANIPORTS.NS,6,6,-0.2618973381311759,-0.14077054157142724,-0.15441815139971496,-0.20133393985130155,-0.2081577447654454,-0.0065215604804274,-0.2619,-0.1408
jan-A,COALINDIA.NS,8,9,-0.004177733315036897,-0.0989575834254532,0.14028276786053745,-0.05156765837024505,0.06805251727275027,0.0025994729896565,-0.0042,-0.099
jan-A,BAJAJFINSV.NS,6,6,-0.2618973381311759,-0.14077054157142724,-0.15441815139971496,-0.20133393985130155,-0.2081577447654454,0.003831269220066,-0.2619,-0.1408
jan-A,GRASIM.NS,7,7,-0.5298018855558801,-0.13179444474104451,-0.11148467357721532,-0.33079816514846233,-0.32064327956654776,-0.001052810672181,-0.5298,-0.1318
jan-A,HINDALCO.NS,11,9,0.2060595960543395,-0.09356625003127805,0.18164269616125617,0.05624667301153072,0.19385114610779783,0.0410852972461176,0.2061,-0.0936
jan-A,DRREDDY.NS,6,6,-0.2618973381311759,-0.14077054157142724,-0.15441815139971496,-0.20133393985130155,-0.2081577447654454,-0.0210277755171096,-0.2619,-0.1408
jan-A,CIPLA.NS,7,6,-0.4499506930851152,-0.14077054157142724,-0.15441815139971496,-0.29536061732827124,-0.3021844222424151,-0.0181220586292779,-0.45,-0.1408
jan-A,BRITANNIA.NS,11,9,-0.4930607161962444,-0.033023588505014106,-0.35097724490899096,-0.2630421523506293,-0.42201898055261766,-0.0033945692002696,-0.4931,-0.033
jan-A,EICHERMOT.NS,9,8,0.16444953841931578,-0.047911170955057876,0.04068295814617808,0.05826918373212896,0.10256624828274694,-0.0076587915598904,0.1644,-0.0479
jan-A,HEROMOTOCO.NS,7,9,-0.07658680528935424,-0.06327992140481929,0.10108147587144727,-0.06993336334708677,0.012247335291046511,-0.0059005975422228,-0.0766,-0.0633
jan-A,BAJAJ-AUTO.NS,7,7,-0.03096722683235211,-0.1228374843892448,-0.033890157966210595,-0.07690235561079846,-0.03242869239928135,0.0121553085776623,-0.031,-0.1228
jan-A,DIVISLAB.NS,11,10,0.44954576348393016,-0.11882332356479965,0.2686088622182391,0.16536121995956526,0.35907731285108463,-0.0172139962041398,0.4495,-0.1188
jan-A,TECHM.NS,6,6,-0.2618973381311759,-0.14077054157142724,-0.15441815139971496,-0.20133393985130155,-0.2081577447654454,0.0043438797965295,-0.2619,-0.1408
jan-A,INDUSINDBK.NS,10,9,-0.1362106882189377,-0.09162915860554526,0.10144688195135261,-0.11391992341224147,-0.017381903133792544,0.0459584314112672,-0.1362,-0.0916
jan-A,APOLLOHOSP.NS,9,8,-0.13690829768086565,-0.2639528282252521,-0.1388433629155147,-0.2004305629530589,-0.13787583029819017,0.0033810294605497,-0.1369,-0.264
jan-A,TATACONSUM.NS,8,7,0.26770717363074775,-0.11165348598596417,0.06473316082606906,0.07802684382239179,0.1662201672284084,-0.014698506599033,0.2677,-0.1117
jan-A,SBILIFE.NS,6,6,-0.2618973381311759,-0.14077054157142724,-0.15441815139971496,-0.20133393985130155,-0.2081577447654454,-0.0110872781895245,-0.2619,-0.1408
jan-A,HDFCLIFE.NS,7,7,-0.07905333711876515,-0.12910858066032424,-0.10932478929450198,-0.10408095888954469,-0.09418906320663356,-0.0123419131747769,-0.0791,-0.1291
jan-A,SHRIRAMFIN.NS,8,9,0.09962861678931748,-0.21268021978974416,0.1278501283301364,-0.056525801500213343,0.11373937255972694,0.0113627788567582,0.0996,-0.2127
jan-A,BPCL.NS,9,9,-0.4960917138635228,-0.397261238450297,-0.335089348111601,-0.44667647615690986,-0.41559053098756193,-0.0023261037405973,-0.4961,-0.3973
jan-B,RELIANCE.NS,7,7,-0.3654867146292632,-0.15236902304550648,-0.23094792181794216,-0.25892786883738483,-0.29821731822360265,-0.0001497482708064,-0.3655,-0.1524
jan-B,TCS.NS,8,5,0.11753420102799905,-0.44928779856438805,0.42886068671900013,-0.1658767987681945,0.2731974438734996,-0.0230308798183815,0.1175,-0.4493
jan-B,HDFCBANK.NS,5,4,0.2650058903083932,-0.7808399112299537,0.08398745146735441,-0.2579170104607802,0.17449667088787382,-0.0029179648012053,0.265,-0.7808
jan-B,INFY.NS,8,9,-0.4457321598014803,-0.1210443314575937,0.5614931355360727,-0.283388245629537,0.057880487867296215,-0.0145205373282333,-0.4457,-0.121
jan-B,ICICIBANK.NS,12,8,-0.7214651973683542,-0.32432156569220905,-0.5483256359478029,-0.5228933815302816,-0.6348954166580786,-0.0085046610787908,-0.7215,-0.3243
jan-B,HINDUNILVR.NS,10,6,0.4400026978385919,-0.6200254494114422,0.05228550978937561,-0.09001137578642515,0.24614410381398377,-0.0014893972196692,0.44,-0.62
jan-B,ITC.NS,5,4,0.2650058903083932,-0.7808399112299537,0.08398745146735441,-0.2579170104607802,0.17449667088787382,0.0038947590974559,0.265,-0.7808
jan-B,SBIN.NS,8,5,0.7700837770919752,-0.3956160968213604,0.48207408275939057,0.1872338401353074,0.6260789299256828,0.0136159544266792,0.7701,-0.3956
jan-B,BHARTIARTL.NS,7,4,0.3594522994072719,-0.7808399112299537,0.08398745146735441,-0.21069380591134088,0.22171987543731317,0.0063998041852023,0.3595,-0.7808
jan-B,KOTAKBANK.NS,8,6,0.24098020378816412,-0.3231282357085833,0.5175981548202068,-0.041074015960209584,0.37928917930418543,-0.0098882728979897,0.241,-0.3231
jan-B,LT.NS,9,9,-0.20972371936546336,0.12050187560500603,-0.05050020234687643,-0.044610921880228666,-0.13011196085616988,0.037233302387513,-0.2097,0.1205
jan-B,AXISBANK.NS,10,8,0.8208961914582936,-0.18301347040941643,0.6943681147084229,0.3189413605244386,0.7576321530833583,0.0391200879897696,0.8209,-0.183
jan-B,BAJFINANCE.NS,6,5,-0.19427486292698426,-0.5122019199165495,-0.26310738132183925,-0.3532383914217669,-0.22869112212441176,-0.0048866264208979,-0.1943,-0.5122
jan-B,ASIANPAINT.NS,13,7,-0.26297020868279564,-0.39491488132295793,-0.10235377921535307,-0.3289425450028768,-0.18266199394907434,-0.0324621081265081,-0.263,-0.3949
jan-B,MARUTI.NS,7,5,0.8005230822715707,-0.3820867448980152,0.5066260992583101,0.20921816868677773,0.6535745907649404,-0.0179055975389681,0.8005,-0.3821
jan-B,HCLTECH.NS,6,5,-0.3026535627566594,-0.08427595030524525,-0.312548923462689,-0.19346475653095233,-0.3076012431096742,-0.0188767746697847,-0.3027,-0.0843
jan-B,SUNPHARMA.NS,5,4,0.2650058903083932,-0.7808399112299537,0.08398745146735441,-0.2579170104607802,0.17449667088787382,-0.0087185477711638,0.265,-0.7808
jan-B,TITAN.NS,6,5,-0.6668287904686229,-0.3956160968213604,-0.4133972366198267,-0.5312224436449916,-0.5401130135442248,0.0013343846097136,-0.6668,-0.3956
jan-B,WIPRO.NS,9,9,-0.28354894061759617,-0.07585210498243557,-0.0711518569815018,-0.17970052280001586,-0.17735039879954898,-0.0011150200438266,-0.2835,-0.0759
