ticker,quarter,quarter_end,transcript_date,finbert_sent,lm_polarity,lm_uncertainty,lm_modal,n_chunks,source,agg_earnings,t_date,fwd_1,fwd_5,fwd_20
HINDALCO.NS,Q4FY26,2026-03-31,2026-05-01,0.4895,-0.2381,0.0,0.0,20,screener.in (BSE transcript),0.1985,2026-05-01,-0.006709479222072989,-0.01169373398946072,0.08310164584891933
DRREDDY.NS,Q4FY26,2026-03-31,2026-05-01,-0.0808,-0.0821,0.0,0.0,19,screener.in (BSE transcript),-0.0813,2026-05-01,-0.024545473040956445,-0.024242424242424288,-0.007500018495501859
CIPLA.NS,Q4FY26,2026-03-31,2026-05-01,0.4782,0.2155,0.0,0.0,20,screener.in (BSE transcript),0.3731,2026-05-01,0.014393940814549477,0.020454565511286216,0.06818186631439072
BRITANNIA.NS,Q4FY26,2026-03-31,2026-05-01,0.1283,-0.1542,0.0,0.0,22,screener.in (BSE transcript),0.0153,2026-05-01,0.007853403141361293,-0.03917975567190224,-0.09109947643979055
EICHERMOT.NS,Q4FY26,2026-03-31,2026-05-01,0.4977,0.0933,0.0,0.0,22,screener.in (BSE transcript),0.336,2026-05-01,0.0303840202560135,0.02250668167112102,0.00956533971022644
HEROMOTOCO.NS,Q4FY26,2026-03-31,2026-05-01,0.4371,-0.1,0.0,0.0,21,screener.in (BSE transcript),0.2223,2026-05-01,-0.024296182028538338,0.014751253374469808,-0.05215966062475896
BAJAJ-AUTO.NS,Q4FY26,2026-03-31,2026-05-01,0.6557,0.053,0.0,0.0,27,screener.in (BSE transcript),0.4146,2026-05-01,-0.011030861681234905,0.03465441303147765,0.039415183852918645
DIVISLAB.NS,Q4FY26,2026-03-31,2026-05-01,0.3103,-0.1439,0.0,0.0,19,screener.in (BSE transcript),0.1286,2026-05-01,0.017209588199139425,0.02950215119852495,0.027965580823601677
TECHM.NS,Q4FY26,2026-03-31,2026-04-01,0.4538,0.3605,0.0,0.0,40,screener.in (BSE transcript),0.4165,2026-04-01,0.03237410071942448,0.051079136690647564,0.06762589928057561
INDUSINDBK.NS,Q4FY26,2026-03-31,2026-04-01,0.3572,-0.0984,0.0,0.0,19,screener.in (BSE transcript),0.175,2026-04-01,0.003107955634508386,0.05995854320260685,0.19819992925865848
TATACONSUM.NS,Q4FY26,2026-03-31,2026-05-01,0.4239,-0.117,0.0,0.0,20,screener.in (BSE transcript),0.2076,2026-05-01,0.01000268692400863,0.04566411565157669,0.03363603182053421
SBILIFE.NS,Q4FY26,2026-03-31,2026-04-01,0.4516,-0.0119,0.0,0.0,25,screener.in (BSE transcript),0.2662,2026-04-01,-0.0014204545454545858,0.08801137750799004,0.028465895219282666
SHRIRAMFIN.NS,Q4FY26,2026-03-31,2026-05-01,0.2059,-0.3508,0.0,0.0,18,screener.in (BSE transcript),-0.0168,2026-05-01,0.01449047177713636,0.05095541401273884,0.008545634599754548
BPCL.NS,Q4FY26,2026-03-31,2026-05-01,0.351,-0.2431,0.0,0.0,22,screener.in (BSE transcript),0.1133,2026-05-01,-0.007438016528925617,-0.012396694214875992,-0.012396694214875992
