ticker,quarter,quarter_end,transcript_date,finbert_sent,lm_polarity,lm_uncertainty,lm_modal,n_chunks,source,agg_earnings,t_date,qkey,surprise_finbert,surprise_agg,fwd_1,fwd_5,fwd_20
BAJAJFINSV.NS,Q1FY26,2025-06-30,2025-08-01,0.2513,-0.3214,0,0,21,screener.in (BSE transcript),0.0222,2025-08-01,"(26, 1)",-0.05119999999999997,-0.057499999999999996,0.003692134990087137,-0.0026001040041602197,0.014040561622464809
BAJAJFINSV.NS,Q3FY26,2025-12-31,2026-02-01,0.325,-0.3422,0,0,20,screener.in (BSE transcript),0.0581,2026-02-01,"(26, 3)",0.07369999999999999,0.0359,0.05854295134794296,0.062316574640493894,0.022012578616352307
BAJAJFINSV.NS,Q4FY26,2026-03-31,2026-05-01,0.2478,-0.3137,0,0,25,screener.in (BSE transcript),0.0232,2026-05-01,"(26, 4)",-0.07720000000000002,-0.0349,0.0061742791731096425,0.03144294622415966,0.026126271734441042
BAJFINANCE.NS,Q2FY25,2024-09-30,2024-10-01,0.1327,-0.2146,0,0,20,screener.in (BSE transcript),-0.0062,2024-10-01,"(25, 2)",0.07410000000000001,0.026199999999999998,-0.02496711862314893,-0.03810766924975628,-0.08685928394596465
BAJFINANCE.NS,Q3FY25,2024-12-31,2025-02-01,0.3054,0.0102,0,0,21,screener.in (BSE transcript),0.1873,2025-02-01,"(25, 3)",0.1727,0.1935,0.06346732472463024,0.07025833504135282,0.07573662951321047
BAJFINANCE.NS,Q4FY25,2025-03-31,2025-05-01,0.1781,0.0901,0,0,22,screener.in (BSE transcript),0.1429,2025-05-01,"(25, 4)",-0.1273,-0.044399999999999995,0.03521662249152868,0.01005980996460032,0.07592365818967095
BAJFINANCE.NS,Q1FY26,2025-06-30,2025-07-01,-0.008,-0.3305,0,0,23,screener.in (BSE transcript),-0.137,2025-07-01,"(26, 1)",-0.18610000000000002,-0.27990000000000004,-0.011789924973204746,-0.006966773847802754,-0.04506965465484325
BAJFINANCE.NS,Q3FY26,2025-12-31,2026-02-01,0.1968,-0.1748,0,0,21,screener.in (BSE transcript),0.0482,2026-02-01,"(26, 3)",0.2048,0.1852,0.08229988726042836,0.11386696730552415,0.09470124013528758
BAJFINANCE.NS,Q4FY26,2026-03-31,2026-05-01,0.2943,0.0507,0,0,20,screener.in (BSE transcript),0.1969,2026-05-01,"(26, 4)",0.0975,0.1487,0.01289845105638765,0.008421303293530302,-0.028408446937929654
BHARTIARTL.NS,Q2FY25,2024-09-30,2024-11-01,0.4079,-0.2822,0,0,26,screener.in (BSE transcript),0.1319,2024-11-01,"(25, 2)",-0.043200000000000016,0.001899999999999985,-0.02217212107205968,-0.035913922316593405,0.006546582423440306
BHARTIARTL.NS,Q3FY25,2024-12-31,2025-02-01,0.3096,-0.4173,0,0,27,screener.in (BSE transcript),0.0189,2025-02-01,"(25, 3)",-0.0983,-0.11299999999999999,0.02608185951013975,0.04873756158793352,-0.01907523404101119
BHARTIARTL.NS,Q4FY25,2025-03-31,2025-05-01,0.4158,-0.3776,0,0,31,screener.in (BSE transcript),0.0984,2025-05-01,"(25, 4)",0.10620000000000002,0.0795,0.008639303159683642,0.0016198429458760266,0.0010798691836131358
BHARTIARTL.NS,Q1FY26,2025-06-30,2025-08-01,0.3883,-0.3226,0,0,36,screener.in (BSE transcript),0.1039,2025-08-01,"(26, 1)",-0.027500000000000024,0.005500000000000005,0.014799154334038,-0.015327695560253707,-0.0005285412262155953
BHARTIARTL.NS,Q2FY26,2025-09-30,2025-11-01,0.4182,-0.3209,0,0,28,screener.in (BSE transcript),0.1226,2025-11-01,"(26, 2)",0.029900000000000038,0.018699999999999994,0.025304136253041287,-0.016982980250152102,0.016934330329987812
BHARTIARTL.NS,Q3FY26,2025-12-31,2026-02-01,0.4005,-0.3273,0,0,33,screener.in (BSE transcript),0.1094,2026-02-01,"(26, 3)",-0.017699999999999994,-0.013200000000000003,0.05882961926054042,0.05944939674466143,-0.04441919378361292
BHARTIARTL.NS,Q4FY26,2026-03-31,2026-05-01,0.4982,-0.1253,0,0,31,screener.in (BSE transcript),0.2488,2026-05-01,"(26, 4)",0.09769999999999995,0.1394,-0.024129805867012744,-0.03160364761639001,-0.023062114188530214
