date,ticker,agg_sent,agg_news,divergence,label,n_sent,n_news,sent_lo,sent_hi,news_lo,news_hi,low_n,combined,agg_earnings,actual_ret,momentum,window,ret_resid,sig_resid
2026-04-12,LT.NS,0.3348,-0.0877,0.4225,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),10,8,-0.2632,0.8186,-0.4857,0.2905,False,0.12355,,0.029394768975732788,0.09598394716959957,apr-A,0.020498889273772934,0.077646875
2026-04-12,AXISBANK.NS,0.6336,-0.1258,0.7594,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),6,5,-0.2734,0.8717,-0.7463,0.4776,False,0.2539,,0.0034793833298660815,0.12764005451026805,apr-A,-0.0054164963720937705,0.20799687500000003
2026-04-12,BAJFINANCE.NS,0.2683,-0.1796,0.4478,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),5,4,-0.5047,0.8521,-1.0,0.6264,True,0.04434999999999999,,-0.012330283412927856,0.11815929744425202,apr-A,-0.02122616311488771,-0.0015531250000000094
2026-04-12,ASIANPAINT.NS,0.7591,-0.0179,0.777,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),8,7,0.2909,0.8752,-0.7275,0.6204,False,0.3706,,0.02643290031560297,0.08838172022677493,apr-A,0.017537020613643116,0.324696875
2026-04-12,MARUTI.NS,-0.1143,-0.1485,0.0342,NEUTRAL,6,5,-0.6395,0.6628,-0.8078,0.5156,False,-0.1314,,-0.03063680793639212,0.08534557833900713,apr-A,-0.03953268763835197,-0.17730312499999998
2026-04-12,HCLTECH.NS,0.2683,-0.1796,0.4478,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),5,4,-0.5254,0.8595,-1.0,0.6264,True,0.04434999999999999,,6.892468152552844e-05,0.03494513682367706,apr-A,-0.008826955020434324,-0.0015531250000000094
2026-04-12,SUNPHARMA.NS,-0.5984,-0.1204,0.4779,OVERREACTION (Fundamental Stable / Retail Panic),6,5,-0.9149,0.6685,-0.728,0.4161,False,-0.3594,,0.025197867276991248,-0.022850703666599803,apr-A,0.016301987575031394,-0.405303125
2026-04-12,TITAN.NS,0.7645,-0.0745,0.839,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),11,8,0.4629,0.8729,-0.4523,0.2647,False,0.345,,0.003818023376803481,0.09953133487449617,apr-A,-0.005077856325156371,0.299096875
2026-04-12,WIPRO.NS,-0.2172,-0.3545,0.1372,BEARISH (Confirmed),8,6,-0.8231,0.7554,-0.8492,0.2245,False,-0.28585,,0.023769987315126473,0.051151818959414896,apr-A,0.014874107613166621,-0.331753125
2026-04-12,ULTRACEMCO.NS,0.3693,-0.1551,0.5244,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),6,5,-0.3098,0.6842,-0.8479,0.5238,False,0.10710000000000001,,0.016912589524549215,0.09124293785310744,apr-A,0.008016709822589363,0.06119687500000002
2026-04-12,NESTLEIND.NS,0.2683,-0.1796,0.4478,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),5,4,-0.5274,0.8521,-1.0,0.6264,True,0.04434999999999999,,0.00584321337749083,0.04868630707860233,apr-A,-0.003052666324469022,-0.0015531250000000094
2026-04-12,ONGC.NS,0.2683,-0.1796,0.4478,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),5,4,-0.5274,0.8521,-1.0,0.6264,True,0.04434999999999999,,0.0038394628394959884,-0.0024373683052862916,apr-A,-0.0050564168624638636,-0.0015531250000000094
2026-04-12,NTPC.NS,0.3249,-0.0949,0.4198,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),8,6,-0.6785,0.8474,-0.5572,0.3437,False,0.11500000000000002,,0.03275026280921467,0.056999861943277,apr-A,0.023854383107254816,0.06909687500000003
2026-04-12,POWERGRID.NS,0.2683,-0.1796,0.4478,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),5,4,-0.5274,0.8521,-1.0,0.6264,True,0.04434999999999999,,0.03203967698441379,0.04414549837586912,apr-A,0.023143797282453936,-0.0015531250000000094
2026-04-12,M&M.NS,0.2683,-0.1796,0.4478,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),5,4,-0.5274,0.8521,-1.0,0.6264,True,0.04434999999999999,,-0.0010123470086182973,0.08237875674159123,apr-A,-0.00990822671057815,-0.0015531250000000094
2026-04-12,TATASTEEL.NS,0.6895,0.0376,0.6518,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),8,6,0.2699,0.8684,-0.5793,0.6067,False,0.36355,,0.010212413774389306,0.06423201081591534,apr-A,0.0013165340724294542,0.317646875
2026-04-12,JSWSTEEL.NS,0.2683,-0.1796,0.4478,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),5,4,-0.5274,0.8561,-1.0,0.6264,True,0.04434999999999999,,0.003128026510599957,0.06440024257903865,apr-A,-0.005767853191359895,-0.0015531250000000094
2026-04-12,ADANIENT.NS,-0.0781,-0.098,0.0199,NEUTRAL,7,6,-0.8109,0.8568,-0.5427,0.3503,False,-0.08805,,0.027602050771134312,0.13771675720390064,apr-A,0.01870617106917446,-0.133953125
2026-04-12,ADANIPORTS.NS,0.2683,-0.1796,0.4478,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),5,4,-0.5253,0.8561,-1.0,0.6264,True,0.04434999999999999,,0.024740719457027494,0.07092049012198598,apr-A,0.01584483975506764,-0.0015531250000000094
2026-04-12,COALINDIA.NS,-0.5878,-0.4498,0.1379,BEARISH (Confirmed),6,5,-0.9014,0.6603,-1.0,0.3708,False,-0.5187999999999999,,0.003916106117371809,-0.03393790985392109,apr-A,-0.004979773584588043,-0.564703125
2026-04-12,BAJAJFINSV.NS,0.2683,-0.1796,0.4478,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),5,4,-0.5274,0.8561,-1.0,0.6264,True,0.04434999999999999,,0.009175380336207573,0.10270007010096416,apr-A,0.00027950063424772055,-0.0015531250000000094
2026-04-12,GRASIM.NS,0.2683,-0.1796,0.4478,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),5,4,-0.5274,0.8521,-1.0,0.6264,True,0.04434999999999999,,-0.0004376122182471187,0.06961506696371189,apr-A,-0.00933349192020697,-0.0015531250000000094
2026-04-12,HINDALCO.NS,0.7247,0.122,0.6026,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),8,6,0.2689,0.8913,-0.5464,0.688,False,0.42335,,0.019504119642443918,0.08278305657401086,apr-A,0.010608239940484066,0.377446875
2026-04-12,DRREDDY.NS,0.5372,-0.1796,0.7168,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),6,4,-0.2734,0.8818,-1.0,0.6264,True,0.17880000000000001,,-0.011686335752614685,0.012240123014941151,apr-A,-0.02058221545457454,0.13289687500000003
2026-04-12,CIPLA.NS,0.2683,-0.1796,0.4478,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),5,4,-0.5254,0.8595,-1.0,0.6264,True,0.04434999999999999,,-0.0020333817342992333,0.031113673336086833,apr-A,-0.010929261436259085,-0.0015531250000000094
2026-04-12,BRITANNIA.NS,0.4192,-0.1796,0.5988,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),6,4,-0.2657,0.8294,-1.0,0.6264,True,0.1198,,0.017453891138101696,0.021223814773980054,apr-A,0.008558011436141844,0.073896875
2026-04-12,EICHERMOT.NS,0.3809,-0.0196,0.4005,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),9,8,-0.3858,0.819,-0.4742,0.3854,False,0.18065,,-0.039870689655172376,0.11647492292653583,apr-A,-0.04876656935713223,0.13474687500000002
2026-04-12,HEROMOTOCO.NS,0.2683,-0.1796,0.4478,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),5,4,-0.5274,0.8521,-1.0,0.6264,True,0.04434999999999999,,-0.03274490075916947,0.09079118028534361,apr-A,-0.041640780461129324,-0.0015531250000000094
2026-04-12,BAJAJ-AUTO.NS,0.7495,-0.0936,0.8431,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),7,6,0.1081,0.8815,-0.5477,0.3206,False,0.32795,,0.00524785954255913,0.12045449714367651,apr-A,-0.003648020159400722,0.28204687500000003
2026-04-12,DIVISLAB.NS,0.2683,-0.1796,0.4478,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),5,4,-0.5274,0.8561,-1.0,0.6264,True,0.04434999999999999,,0.009973023788114155,0.04439511653718098,apr-A,0.0010771440861543028,-0.0015531250000000094
2026-04-12,TECHM.NS,0.2683,-0.1796,0.4478,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),5,4,-0.5274,0.8521,-1.0,0.5032,True,0.04434999999999999,,0.03027364194865645,-0.0009018722359521725,apr-A,0.021377762246696595,-0.0015531250000000094
2026-04-12,INDUSINDBK.NS,0.2683,-0.1796,0.4478,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),5,4,-0.5274,0.8595,-1.0,0.6264,True,0.04434999999999999,,0.011072272116447124,0.06703481621771568,apr-A,0.002176392414487272,-0.0015531250000000094
2026-04-12,APOLLOHOSP.NS,0.3448,-0.1796,0.5244,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),6,4,-0.3098,0.7619,-1.0,0.6288,True,0.08259999999999999,,0.017373360846701713,0.026511786812436045,apr-A,0.008477481144741861,0.036696875
2026-04-12,TATACONSUM.NS,0.689,-0.1024,0.7914,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),7,6,0.054,0.8699,-0.606,0.3078,False,0.29329999999999995,,0.0004572052199733889,0.0496160348923218,apr-A,-0.008438674481986463,0.24739687499999996
2026-04-12,SBILIFE.NS,0.2683,-0.1796,0.4478,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),5,4,-0.5274,0.8561,-1.0,0.6264,True,0.04434999999999999,,0.024854435337833047,0.08410369288155306,apr-A,0.015958555635873194,-0.0015531250000000094
2026-04-12,HDFCLIFE.NS,0.2683,-0.1796,0.4478,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),5,4,-0.5041,0.8561,-1.0,0.6288,True,0.04434999999999999,,0.060084414452046264,0.06721436669515235,apr-A,0.05118853475008641,-0.0015531250000000094
2026-04-12,SHRIRAMFIN.NS,0.7498,0.1183,0.6315,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),8,7,0.4158,0.877,-0.4762,0.5859,False,0.43405,,-0.006423080441308682,0.15247877631764672,apr-A,-0.015318960143268534,0.388146875
2026-04-12,BPCL.NS,-0.1955,-0.218,0.0226,NEUTRAL,8,7,-0.7375,0.7294,-0.7435,0.2117,False,-0.20675,,0.03708036037145512,0.07621791361577746,apr-A,0.02818448066949527,-0.252653125
2026-04-28,RELIANCE.NS,-0.2893,0.1581,0.4474,OVERREACTION (Fundamental Stable / Retail Panic),8,6,-0.9185,0.4513,-0.225,0.5676,False,-0.0656,,0.030167840654155453,0.026305974003943078,apr-B,0.027445830288889056,0.0031937499999999813
2026-04-28,TCS.NS,-0.7697,-0.1454,0.6243,OVERREACTION (Fundamental Stable / Retail Panic),4,3,-0.9425,-0.1473,-1.0,0.0,True,-0.45755,,0.011944186841201132,-0.06351275493228825,apr-B,0.009222176475934735,-0.38875625
2026-04-28,HDFCBANK.NS,-0.1007,-0.2687,0.168,BEARISH (Confirmed),4,2,-0.8137,0.7281,-1.0,0.0,True,-0.1847,,-0.01386492273021489,-0.035971677221708465,apr-B,-0.016586933095481288,-0.11590625000000002
2026-04-28,INFY.NS,-0.8744,-0.3477,0.5267,OVERREACTION (Fundamental Stable / Retail Panic),14,9,-0.9347,-0.7697,-0.6921,-0.0461,False,-0.61105,,0.025779121585226994,-0.12267744134450231,apr-B,0.023057111219960597,-0.54225625
2026-04-28,ICICIBANK.NS,0.4803,-0.6792,1.1595,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),4,3,-0.8154,0.7414,-1.0,0.0,True,-0.09945000000000001,,-0.022136204013883498,-0.06943245658234953,apr-B,-0.024858214379149896,-0.030656250000000024
2026-04-28,HINDUNILVR.NS,0.5607,-0.1179,0.6786,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),4,3,-0.8137,0.8381,-1.0,0.0,True,0.22139999999999999,,-0.016859618980672675,-0.009174688025212152,apr-B,-0.019581629345939072,0.29019375
2026-04-28,ITC.NS,-0.5465,-0.2687,0.2778,OVERREACTION (Fundamental Stable / Retail Panic),3,2,-0.9345,0.4059,-1.0,0.0,True,-0.40759999999999996,,0.034324065315017416,-0.016793090164884616,apr-B,0.03160205494975102,-0.33880625
2026-04-28,SBIN.NS,-0.8381,-0.1179,0.7202,OVERREACTION (Fundamental Stable / Retail Panic),4,3,-0.92,-0.1473,-1.0,0.0,True,-0.478,,-0.02093834409062545,-0.018482721312886308,apr-B,-0.023660354455891847,-0.40920625
2026-04-28,BHARTIARTL.NS,0.575,-0.1268,0.7018,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),5,3,-0.6637,0.8567,-1.0,0.0,True,0.22409999999999997,,0.02332140083591483,-0.0060377095266171965,apr-B,0.020599390470648432,0.29289374999999995
2026-04-28,KOTAKBANK.NS,0.4035,-0.5142,0.9177,SPECULATIVE HYPE (Retail Bullish / Fundamental Neutral),6,5,-0.2039,0.6531,-1.0,-0.0825,False,-0.05534999999999998,,0.014155246495949125,-0.010990401037637598,apr-B,0.011433236130682728,0.013443750000000004
2026-04-28,LT.NS,-0.2183,0.3121,0.5303,UNDER-THE-RADAR VALUE (Fundamental Bullish / Retail Neutral),5,3,-0.9209,0.6399,-1.0,1.0,True,0.0469,,-0.005869665893190712,-0.009250594475835983,apr-B,-0.00859167625845711,0.11569374999999998
